Freq,Zreal,Zimag
1.59E+07,0.25082,-0.00348
1.26E+07,0.25111,-0.00412
1.00E+07,0.25145,-0.00488
7976642.565,0.25185,-0.00577
6336072.407,0.25233,-0.00683
5032921.21,0.2529,-0.00808
3997791.421,0.25357,-0.00955
3175558.602,0.25436,-0.01129
2522435.859,0.25529,-0.01335
2003642.023,0.25638,-0.01578
1591549.431,0.25766,-0.01865
1264212.65,0.25915,-0.02205
1004199.803,0.26089,-0.02608
797664.2565,0.2629,-0.03085
633607.2407,0.26523,-0.03653
503292.121,0.26791,-0.0433
399779.1421,0.27098,-0.05139
317555.8602,0.2745,-0.06109
252243.5859,0.27851,-0.07276
200364.2023,0.28309,-0.08686
159154.9431,0.28833,-0.10395
126421.265,0.29436,-0.12474
100419.9803,0.30136,-0.15007
79766.42565,0.30957,-0.18097
63360.72407,0.31928,-0.21869
50329.2121,0.33087,-0.2647
39977.91421,0.34478,-0.32081
31755.58602,0.36155,-0.38921
25224.35859,0.38184,-0.47253
20036.42023,0.40642,-0.57399
15915.49431,0.43625,-0.69749
12642.1265,0.47247,-0.84778
10041.99803,0.51649,-1.03065
7976.64256,0.56999,-1.25312
6336.07241,0.63503,-1.52375
5032.92121,0.71412,-1.85292
3997.79142,0.81029,-2.25331
3175.5586,0.92724,-2.74028
2522.43586,1.06946,-3.33256
2003.64202,1.24243,-4.0529
1591.54943,1.45278,-4.92899
1264.21265,1.7086,-5.9945
1004.1998,2.01972,-7.29036
797.66426,2.39811,-8.86639
633.60724,2.85828,-10.78314
503.29212,3.41795,-13.11427
399.77914,4.0986,-15.94936
317.55586,4.9264,-19.39736
252.24359,5.93315,-23.59078
200.3642,7.15755,-28.69076
159.15494,8.64665,-34.89329
126.42126,10.45767,-42.43672
100.41998,12.66021,-51.61094
79.76643,15.3389,-62.7685
63.36072,18.59669,-76.33816
50.32921,22.55877,-92.8414
39.97791,27.37739,-112.91241
31.75559,33.23773,-137.32249
25.22436,40.365,-167.00968
20.03642,49.03308,-203.11483
15.91549,59.57508,-247.02542
12.64213,72.39611,-300.42885
10.042,87.98887,-365.37736
7.97664,106.95256,-444.36683
6.33607,130.01594,-540.43272
5.03292,158.0653,-657.26671
3.99779,192.17854,-799.35857
3.17556,233.66658,-972.1687
2.52244,284.12376,-1182.33796
2.00364,345.48907,-1437.94288
1.59155,420.1207,-1748.806
1.26421,510.88665,-2126.87337
1.0042,621.27492,-2586.67362
0.79766,755.52759,-3145.87625
0.63361,918.80381,-3825.97065
0.50329,1117.37807,-4653.09195
0.39978,1358.88129,-5659.02529
0.31756,1652.59414,-6882.42733
0.25224,2009.80359,-8370.31177
0.20036,2444.23672,-10179.85599
0.15915,2972.58821,-12380.59835
0.12642,3615.1619,-15057.11039
0.10042,4396.65103,-18312.24687
0.07977,5347.08716,-22271.09828
0.06336,6502.99428,-27085.79795
0.05033,7908.79234,-32941.36828
0.03998,9618.50426,-40062.83094
0.03176,11697.83196,-48723.85414
0.02522,14226.68121,-59257.2693
0.02004,17302.23225,-72067.86136
0.01592,21042.67437,-87647.92408
0.01264,25591.74772,-106596.1783
0.01004,31124.26705,-129640.7797
0.00798,37852.83959,-157667.3014
0.00634,46036.03533,-191752.7647
0.00503,55988.32343,-233207.0281
0.004,68092.15688,-283623.1228
0.00318,82812.66969,-344938.4714
0.00252,100715.5513,-419509.34
0.002,122488.7853,-510201.3864
0.00159,148969.0876,-620499.7837
0.00126,181174.0606,-754643.1503
0.001,220341.2979,-917786.4349
7.98E-04,267975.9436,-1116199.014
6.34E-04,325908.5329,-1357505.614
5.03E-04,396365.3369,-1650979.324
4.00E-04,482053.9156,-2007897.941
3.18E-04,586267.1654,-2441977.367
2.52E-04,713009.861,-2969898.687
2.00E-04,867152.553,-3611949.207
1.59E-04,1054618.737,-4392802.06
